追番,警察署,目撃(発見)年月日,目撃(発見)時間,目撃(発見)場所,状況,頭数,体長,緯度,経度
66,萩,令和6年5月29日,17:30,"阿武郡阿武町大字奈古
　　県道上",ウォーキング中、県道を横切る熊を目撃したもの,1,約80cm,34.50840 ,131.49310 
67,岩国,令和6年5月30日,10:58,"岩国市錦町須川
　　国道上",車で走行中、国道を横切る熊を目撃したもの,1,約100cm,34.34915 ,132.00380 
68,萩,令和6年5月30日,12:50,"萩市大字高佐下
　　市道上",車で走行中、市道を横切る熊を目撃したもの,1,約100cm,34.45720 ,131.59330 
69,山口,令和6年5月29日,14:00,"山口市上宇野令
　　山中",登山中、山中で熊を目撃したもの,1,約120cm,34.22188 ,131.46102 
70,光,令和6年5月30日,16:40,"光市大字塩田
　　田",車で走行中、田んぼの中にいる熊を目撃したもの,1,約120cm,33.98781 ,132.02641 
71,光,令和6年5月30日,17:45,"周南市大字大河内
　　国道上",自転車で走行中、山中にいる熊を目撃したもの,1,約100cm,34.03922 ,131.94919 
72,岩国,令和6年6月1日,6:44,"岩国市廿木
　　国道上",車で走行中、竹藪から山中に移動する熊を目撃したもの,1,約150cm,34.11917 ,132.10487 
73,山口,令和6年6月1日,8:10,"山口市宮野上
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約50cm,34.22702 ,131.50615 
74,防府,令和6年6月2日,18:30,"防府市大字田島
　　海岸",海岸で釣り中、２頭の熊を目撃したもの,2,約100cm,34.00004 ,131.52612 
75,宇部,令和6年6月2日,9:20,"宇部市大字中山
　　山中",登山中、山中で熊を目撃したもの,1,約100cm,33.98989 ,131.24483 
76,岩国,令和6年6月2日,4:15,"岩国市玖珂町
　　空き地",車で走行中、市道沿いの空き地で熊を目撃したもの,1,約100cm,34.10054 ,132.05840 
77,萩,令和6年6月3日,6:50,"阿武郡阿武町大字奈古
　　県道上",車で走行中、県道上にいる熊を目撃したもの,1,約80cm,34.49627 ,131.48666 
78,光,令和6年6月3日,17:40,"周南市大字中須南
　　国道上",車で走行中、国道を横切る熊を目撃したもの,1,約100cm,34.10265 ,131.93171 
79,周南,令和6年6月3日,17:40,"周南市大字金峰
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約100cm,34.18922 ,131.88749 
80,柳井,令和6年6月4日,10:15,"柳井市日積
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約80cm,34.01098 ,132.15324 
81,萩,令和6年6月5日,15:45,"萩市大字椿東
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約100cm,34.38303 ,131.43345 
82,萩,令和6年6月5日,17:42,"萩市大字椿東
　　県道上",車で走行中、県道上にいる熊を目撃したもの,1,約150cm,34.38242 ,131.43509 
83,岩国,令和6年6月5日,19:30,"岩国市天尾
　　民家敷地内",自宅窓を開けたところ、自宅敷地内にいる熊を目撃したもの,1,約150m,34.17826 ,132.06687 
84,山口南,令和6年6月6日,4:37,"山口市秋穂東
　　市道上",車で走行中、市道上にいる熊を目撃したもの,1,約100cm,34.00166 ,131.43050 
85,山口,令和6年6月6日,15:40,"山口市徳地柚木
　　国道上",車で走行中、国道上にいる熊を目撃したもの,1,約100cm,34.34498 ,131.71612 
86,宇部,令和6年6月7日,8:02,"宇部市大字小野
　　県道",車で走行中、県道脇の木にぶら下がっている熊を目撃したもの,1,約100cm,34.10408 ,131.32774 
87,宇部,令和6年6月6日,18:30,"宇部市大字中山
　　山中",登山道を自転車で走行中、山中にいる熊を目撃したもの,1,約100cm,33.98840 ,131.24826 
88,光,令和6年6月7日,11:10,"光市大字浅江
　　市道上",車で走行中、市道上を歩く熊を目撃したもの,1,約150cm,33.98043 ,131.90475 
89,柳井,令和6年6月8日,6:15,"柳井市日積
　　路上",徒歩にて移動中、熊ようの動物の足跡を発見したもの,不明,不明,34.00126 ,132.13815 
90,長門,令和6年6月8日,11:20,"長門市俵山
　　県道上",車で走行中、県道上にいる熊を目撃したもの,1,約100cm,34.29665 ,131.12657 
91,山陽小野田,令和6年6月8日,17:00,"山陽小野田市大字鴨庄
　　市道上",徒歩にて移動中、市道上にいる熊を目撃したもの,1,約150cn,34.07489 ,131.16673 
92,岩国,令和6年6月10日,13:30,"岩国市本郷町本郷
　　県道上",車両から降車した際、県道を横切る熊を目撃したもの,1,約200cm,34.27201 ,132.03903 
93,柳井,令和6年6月10日,18:20,"柳井市柳井
　　県道上",車両で走行中、県道を横切る熊を目撃したもの,1,約100cm,33.99714 ,132.10425 
94,光,令和6年6月10日,19:55,"周南市大字原
　　県道上",車両で走行中、県道を歩く熊を目撃したもの,1,約120cm,34.06737 ,131.95941 
95,周南,令和6年6月11日,11:10,"周南市大字須万
　　市道上",目撃者が自宅から外を見たところ、市道を歩く熊を目撃したもの,1,約100cm,34.19857 ,131.92128 
96,山口,令和6年6月11日,11:00,"山口市阿東篠目
　　市道上",車両で走行中、市道を横切る熊を目撃したもの,1,約100cm,34.28544 ,131.56467 
97,山口,令和6年6月7日,18:00,"山口市阿東篠目
　　山中",環境調査のため設置していた定点カメラに、山中を移動する熊が映っていたもの,1,不明,34.25336 ,131.53319 
98,岩国,令和6年6月8日,22:50,"岩国市周東町西長野
　　休耕田内",目撃者が換気のため窓を開けたところ、休耕田から山中に移動する熊を目撃したもの,1,約100cm,34.09275 ,132.02676 
99,長門,令和6年6月12日,2:20,"長門市油谷久富
　　農道上",車で走行中、農道を横切る熊を目撃したもの,1,約120cm,34.36406 ,131.07852 
100,下松,令和6年6月13日,1:00,"下松市大字東豊井
　　国道上",車で走行中、国道を横切る熊を目撃したもの,1,約100cm,33.99133 ,131.88427 
101,柳井,令和6年6月14日,17:55,"熊毛郡平尾町大字平生村
　　町道上",徒歩にて進行中、町道上に熊を目撃したもの,2,"約100cm
約50cm",33.94586 ,132.06894 
102,周南,令和6年6月14日,19:50,"周南市大字小畑
　　国道上",車で走行中、国道を横切る熊を目撃したもの,1,約80cm,34.10121 ,131.74034 
103,柳井,令和6年6月14日,20:43,"熊毛郡田布施町大字波野
　　町道上",車で走行中、町道を横切る熊を目撃したもの,1,約100cm,33.96672 ,132.05282 
104,岩国,令和6年6月13日,12:00,"岩国市錦町宇佐郷
　　市道上",散歩中、市道を歩く熊を目撃したもの,1,約100cm,34.36561 ,132.01489 
105,萩,令和6年6月16日,5:00,"萩市大字鈴野川
　　道路上",車で走行中、道路を横切る熊を目撃したもの,1,約100cm,34.55576 ,131.68116 
106,山口,令和6年6月14日,9:15,"山口市阿東生雲西分
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約100cm,34.37141 ,131.62047 
107,周南,令和6年6月16日,9:30,"周南市大字大向
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約60cm,34.18207 ,131.84687 
108,岩国,令和6年6月16日,14:00,"岩国市周東町上須通
　　国道上",車で走行中、国道を横切る熊を目撃したもの,1,約100cm,34.11840 ,131.99218 
109,光,令和6年6月16日,18:30,"光市大字束荷
　　広域農道上",車で走行中、林の中にいる熊を目撃したもの,1,約150cm,34.01090 ,132.02283 
110,周南,令和6年6月17日,7:07,"周南市大字中須南
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約100cm,34.11657 ,131.91860 
111,岩国,令和6年6月15日,17:00,"岩国市錦町宇佐郷
　　市道上",車で走行中、市道を歩く熊を目撃したもの,1,約100cm,34.25271 ,132.09603 
112,光,令和6年6月14日,21:00,"周南市大字呼坂
　　市道脇",目撃者が庭先から、市道にいる熊を目撃したもの,1,約150cm,34.04197 ,131.95340 
113,小串,令和6年6月14日,17:10,"下関市豊北町大字北宇賀
　　山中",職場敷地から、山中を歩く熊を目撃したもの,1,約100cm,34.26476 ,130.92552 
114,下松,令和6年6月17日,13:00,"下松市大字切山
　　県道上",目撃者がランニング中、県道脇にいる熊を目撃したもの,1,約100cm,34.04840 ,131.91725 
115,山口,令和6年6月19日,17:30,"山口市阿東生雲東分
　　阿武川内",目撃者が犬の散歩中、阿武川内を歩く熊を目撃したもの,1,約100cm,34.32296 ,131.60674 
116,光,令和6年6月20日,6:10,"光市大字岩田
　　市道上",車で走行中、市道上にいる熊を目撃したもの,1,約120cm,33.99452 ,132.00212 
117,萩,令和6年6月20日,8:35,"萩市大字山田
　　県道上",車で走行中、県道を横切る熊を目撃したもの,1,約80cm,34.32869 ,131.35909 
